neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,last_review_year,last_review_month,last_review_day
5,1.3108600000000001,103.85883000000001,1,37,1,18,0.28,3,0,2019,1,1
11,1.28362,103.84552,3,131,2,52,1.03,12,355,2019,8,12
11,1.28378,103.8431,3,126,90,1,0.03,1,282,2017,1,18
11,1.28216,103.84714,2,200,10,17,0.27,1,365,2015,8,9
4,1.31562,103.88586,3,85,60,41,0.66,67,26,2019,3,20
13,1.29508,103.84085,3,181,5,2,0.03,1,0,2014,6,28
4,1.31228,103.89520999999999,3,200,30,22,0.35,203,352,2019,5,13
13,1.2949899999999999,103.83851999999999,3,219,2,154,2.99,48,266,2019,7,27
13,1.2978299999999998,103.83936,3,137,1,179,2.87,48,288,2019,8,12
11,1.28318,103.84335,1,31,1,137,2.25,13,359,2019,7,15
11,1.2845799999999998,103.84298000000001,1,31,1,80,1.3,13,46,2018,11,10
15,1.28955,103.83861,3,206,2,18,0.29,1,0,2016,11,19
2,1.3319,103.76533,3,150,2,41,0.69,1,25,2019,8,13
11,1.28496,103.84318,1,31,1,192,3.1,13,46,2019,6,28
11,1.28439,103.84308,1,31,1,177,2.86,13,46,2019,8,11
11,1.2852,103.84215999999999,2,60,90,1,0.32,112,361,2019,5,28
4,1.31492,103.88801,3,89,4,40,0.66,67,134,2019,7,18
11,1.28262,103.84487,1,31,1,18,0.3,13,365,2018,10,7
11,1.28354,103.84331,2,140,2,48,0.82,13,168,2019,8,18
4,1.3155,103.88596,3,85,30,59,0.96,67,86,2019,6,25
13,1.2953299999999999,103.83797,3,150,2,220,3.66,48,260,2019,7,28
4,1.31379,103.88577,3,93,1,25,0.42,67,84,2019,6,23
14,1.30376,103.85923000000001,2,58,1,20,0.44,7,233,2018,2,10
14,1.3017100000000001,103.85959,2,90,1,6,0.1,7,233,2017,7,29
13,1.29597,103.8382,3,137,1,63,1.03,48,337,2019,2,1
2,1.32986,103.81296999999999,2,150,90,26,0.53,3,90,2018,11,17
17,1.32045,103.82115999999999,3,237,3,61,1.01,3,36,2019,8,12
4,1.31586,103.88559000000001,3,90,1,78,1.28,67,10,2019,7,8
4,1.31565,103.88576,3,94,1,61,1.0,67,77,2019,8,13
